Michael_Phelps@uss.net,www.Michael_Phelps.com,Sportsman
John_Travolta@jtv.com,www.John_Travolta.com,MovieStar
Morgan_Freeman@morgan.com,www.Morgan_Freeman.com,MovieStar
Nicholas_Cage@ncg.com,www.Nicholas_Cage.com,MovieStar
Venus_Williams@usta.net,www.Venus_Williams.com,Tennis Player
Sandra_Bullock@blk.com,www.Sandra_Bullock.com,MovieStar
Brad_Pitt@pitt.com,www.Brad_Pitt.com,MovieStar
Julia_Roberts_@rbt.com,www.Julia_Roberts_.com,MovieStar
Serena_Williams@usta.net,www.Serena_Williams.com,Tennis Player
Bruce_Willis@bws.com,www.Bruce_Willis.com,MovieStar
Mariah_Carey@sng.net,www.Mariah_Carey.com,Singer
David_Beckham@uks.net,www.David_Beckham.com,Sportsman
Nicole_Kidman@kid.com,www.Nicole_Kidman.com,MovieStar
Rafael_Nadal@sta.net,www.Rafael_Nadal.com,Tennis Player
Tom_Hanks@thk.com,www.Tom_Hanks.com,MovieStar
Justin_Timberlake@tlk.com,www.Justin_Timberlake.com,MovieStar
Roger_Federer@swta.net,www.Roger_Federer.com,Tennis Player
